budget,revenue,runtime,has_budget,director_missing,release_year,is_weekend,month_sin,month_cos,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_romance,genre_science_fiction,genre_sport,genre_tv_movie,genre_thriller,genre_war,genre_western,director_encoded
220715.0,220715.0,103.0,0,0,2024,0,0.8660254037844387,-0.49999999999999983,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.173841477375655
124772.0,404492.0,81.0,0,0,2021,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.388794229015218
556585.0,557944.0,100.0,0,0,2023,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.258149075919148
1000000.0,1000000.0,39.0,0,0,2024,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.522964758234066
13849.0,13849.0,88.0,0,0,2020,1,-0.4999999999999998,-0.8660254037844388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.922151334229898
28000000.0,42791449.0,109.0,0,0,2024,1,0.8660254037844387,-0.49999999999999983,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29504536520649
246359.0,246359.0,82.0,0,0,2020,0,0.49999999999999994,-0.8660254037844387,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.183833938610398
3000.0,1.0,40.0,0,0,2023,1,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.118251940497577
70000000.0,170581.0,113.0,0,0,2020,1,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11.150417778492884
150.0,50.0,15.5,0,0,2025,1,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.874232315021066
1922557.0,1922557.0,97.0,0,0,2020,1,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.514695670014683
90443.0,90443.0,95.0,0,0,2025,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.092737301685899
